age,gender,profiles,cases,score
24,Male,1,1,
28,Female,2,1,
,Male,1,0,
24,Male,1,0,
,Male,2,1,
35,Male,1,1,
28,Male,1,1,5
24,Male,1,1,
22,Female,2,3,
27,Female,1,1,
32,Female,2,1,
22,Male,1,1,
20,Female,1,1,
23,Male,1,1,
24,Female,1,1,
24,Male,2,1,
32,Male,2,6,5
,Female,1,0,
30,Male,1,3,3
29,Male,1,1,5
25,Male,1,0,
25,Female,1,2,
31,Male,2,1,
28,Male,2,1,
16,Female,5,1,
24,Female,2,1,
23,Female,1,1,
,Female,1,0,
19,Female,1,3,
21,Male,1,2,5
31,Male,1,1,
16,Male,2,1,
25,Female,2,0,
30,Female,1,5,
44,Male,2,1,
,Female,2,1,5
,Male,2,0,
24,Female,1,0,
,Male,2,1,
23,Female,1,1,4
27,Female,1,1,
26,Male,19,28,
33,Female,2,1,
27,Male,1,0,
23,Female,1,1,
39,Female,2,1,
25,Male,1,0,
,Male,3,1,
,Male,1,0,
,Female,1,0,
20,Male,1,3,
33,Male,2,2,
,Female,1,0,
28,Female,1,1,
,Male,1,0,
26,Female,3,1,
27,Male,1,0,
,Male,1,1,
25,Male,2,7,
24,Female,1,2,
52,Male,2,2,
22,Female,1,1,
21,Male,1,1,
,Male,3,2,5
16,Female,3,0,
,Male,1,0,
27,Female,1,0,
31,Female,1,1,
,Female,2,0,
33,Male,4,3,5
23,Female,1,1,
,Male,1,0,
,Female,3,1,
23,Male,1,0,
37,Male,3,19,
21,Male,2,0,
27,Female,2,1,
29,Female,1,1,
47,Female,1,1,
28,Male,3,1,
20,Male,2,1,
30,Female,7,1,
36,Female,1,1,
30,Male,1,1,5
28,Male,2,1,
19,Female,1,3,
21,Male,1,1,
26,Female,1,1,
28,Male,1,3,
,Female,3,0,
26,Female,2,0,
26,Male,2,1,
,male,1,0,
34,Male,1,1,
20,Male,1,1,
26,Female,1,1,
28,Male,1,1,
,Male,1,0,
20,Male,2,1,
22,Female,2,1,
39,Female,1,1,
,Male,2,0,
28,Female,1,1,
26,Male,3,2,
,Female,1,0,
22,Male,2,1,
18,Male,1,1,
35,Female,1,1,
23,Male,1,2,
26,Female,1,1,
,Male,1,1,
23,Male,2,1,
31,Male,4,2,
30,Male,1,1,
38,Female,1,1,
20,Male,1,2,5
,Male,1,0,
31,Male,2,2,
20,Male,1,0,
,Male,7,10,5
60,Male,3,0,
,Male,1,0,
26,Female,1,1,
29,Female,1,1,
26,Male,1,1,
25,Male,1,2,
26,Male,2,0,
,Male,3,1,
27,Female,1,1,
19,Female,1,1,
,Male,2,0,
25,Male,2,5,
36,Male,1,2,
27,Female,1,1,
29,Male,1,1,5
24,Female,2,1,
27,Female,1,7,
21,Male,1,1,
17,Male,1,0,
30,Male,4,5,
23,Female,1,0,
25,Female,2,1,
21,Female,1,1,
,Male,2,0,
19,Female,1,1,
17,Male,1,0,
30,Male,1,1,
20,Female,1,1,
,Male,3,2,5
30,Male,2,1,
,Male,3,0,
,Male,1,0,
,Male,2,1,
40,Female,1,0,
17,Male,1,0,
,Male,1,0,
31,Male,4,8,
29,Male,1,1,
,Male,1,0,
25,Female,1,1,
,Male,1,0,
26,Male,1,1,
,Male,2,0,
15,Male,3,0,
20,Female,1,1,
19,Male,1,0,
19,Female,5,4,
,Male,1,0,
24,Male,1,0,
36,Female,1,1,
30,Male,1,0,
29,Male,1,2,
32,Male,2,1,
16,Male,2,0,
24,Female,1,1,
24,Female,1,1,
24,Male,2,1,
23,Female,1,1,
15,Male,2,1,
22,Male,1,2,
,Female,3,0,
,Male,1,0,
38,Female,3,0,
26,Female,1,2,
26,Female,4,6,
23,Female,2,1,
22,Male,1,1,
22,Male,2,1,
,Male,1,0,
24,Male,1,0,
28,Female,1,1,
18,Female,2,1,
24,Female,2,1,
,Female,2,0,
32,Male,1,0,
29,Female,1,1,
19,Female,1,1,
,Male,1,0,
,Female,2,0,
,Male,1,0,
30,Male,1,1,
,Male,1,0,
16,Male,4,0,
35,Male,2,1,
25,Female,1,1,4
28,Female,2,1,
23,Male,2,2,
25,Female,1,2,
19,Male,1,1,
23,Male,1,4,5
29,Male,1,2,
21,Female,1,0,
,Female,1,0,
25,Male,1,2,
24,Male,1,2,5
18,Male,2,1,3
27,Male,2,2,
29,Male,2,1,
27,Male,1,2,
,Female,2,1,
45,Male,1,0,
31,Male,1,2,
30,Male,1,1,
22,Male,1,0,
40,Male,3,7,
29,Female,1,2,
27,Male,1,2,
44,Male,1,0,
30,Female,1,0,
21,Male,1,0,
28,Female,5,0,
41,Others,2,5,
,Male,2,1,5
17,Male,2,1,5
21,Female,1,4,
18,Male,2,1,
23,Female,1,1,
20,Male,1,1,
,Male,2,0,
22,Female,2,1,
23,Female,1,4,
29,Male,7,5,
35,Male,1,0,
,Male,2,0,
28,Male,1,1,
24,Female,1,3,5
21,Male,2,1,
18,Female,1,0,
26,Female,1,4,
22,Male,1,1,
18,Female,3,3,
28,Female,5,1,
36,Others,1,1,
21,Male,1,0,
35,Female,2,0,
26,Male,2,1,
26,Male,1,1,
27,Male,1,1,
30,Female,2,2,
27,Female,3,0,
33,Female,1,1,
27,Female,1,1,
35,Male,4,1,
20,Female,1,1,
26,Female,2,1,
27,Male,2,1,
21,Male,1,0,
23,Male,2,1,
21,Female,2,1,
14,Male,3,0,
27,Female,1,1,
20,Male,1,1,
20,Male,1,1,
18,Male,2,0,
,Male,3,1,
,Male,1,0,
27,Male,1,3,
28,Female,1,1,
27,Male,2,3,5
,Male,1,0,
30,Male,1,1,4
,Female,1,0,
24,Female,2,1,
,Male,1,0,
27,Female,1,1,
34,Male,2,1,
27,Female,4,5,5
19,Male,2,1,
20,Male,1,1,
,Male,2,0,
45,Male,3,0,
31,Male,1,1,
41,Male,1,0,
27,Male,2,2,5
27,Male,1,1,
32,Female,1,2,5
,Male,3,1,
38,Male,1,0,
29,Male,2,1,5
17,Male,1,0,
26,Female,1,1,
776,Male,1,0,
23,Male,1,0,
,Male,1,0,
,Male,1,0,
18,Male,1,1,
30,Male,1,1,
22,Male,1,1,
,Female,1,0,
32,Female,3,8,
40,Male,5,3,
