age,gender,profiles,cases,score,Output
35,Male,3,4,,3
,Female,3,4,,3
25,Female,3,3,5,3
,Female,3,3,5,3
29,Male,3,3,5,3
30,Male,3,3,5,3
28,Female,3,3,5,3
25,Female,5,11,5,1
,Female,5,11,5,1
29,Male,5,11,5,1
30,Male,5,11,5,1
28,Female,5,11,5,1
30,Female,2,2,5,1
,Male,2,2,5,1
34,Male,1,1,,3
26,Female,1,1,,3
28,Female,1,1,4.7,3
28,Male,1,1,5,6
36,Female,3,2,3.7,6
40,Male,1,2,,1
28,Male,3,4,5,1
60,Male,3,4,5,1
50,Female,3,4,5,1
,Male,1,1,3.6,3
38,Female,1,1,3.6,3
38,Male,1,1,3.6,3
59,Male,1,0,5,6
63,Female,1,0,5,6
59,Male,3,2,5,6
63,Female,3,2,5,6
36,Male,3,2,5,6
25,Male,2,2,4,3
43,Female,2,2,4,3
30,Female,1,0,3,3
31,Female,2,2,5,1
31,Male,4,2,5,6
29,Female,4,2,5,6
,Female,4,2,5,6
,Male,4,2,5,6
29,Female,3,4,2.5,1
36,Male,3,4,2.5,1
28,Female,3,4,2.5,1
63,Male,6,0,,1
34,Male,3,0,,1
65,Female,3,0,,1
32,Male,2,1,,1
25,Female,2,1,,1
31,Female,1,1,4.3,6
33,Male,1,1,4.3,6
34,Male,1,1,4.3,6
31,,1,1,4.3,6
30,Male,1,1,4.3,6
,Female,1,1,4.3,6
,Male,1,1,4.3,6
28,,1,1,4.3,6
29,Female,1,1,4.3,6
50,Male,1,0,5,6
30,Female,2,0,5,1
32,Female,12,4,5,3
31,Female,12,4,5,3
38,Male,12,4,5,3
,Male,12,4,5,3
,Female,12,4,5,3
26,Female,2,0,5,3
30,Male,2,0,5,3
54,Female,2,0,5,3
37,Female,5,0,4,3
68,Male,5,0,4,3
40,Male,5,0,4,3
62,Female,5,0,4,3
28,Female,1,1,,3
78,Male,2,0,,1
37,Male,1,1,5,1
46,Female,4,0,,1
40,Male,4,0,,1
13,Male,4,0,,1
25,Male,4,0,,1
32,Female,4,0,,1
24,Male,1,1,5,6
48,Female,1,1,5,6
26,Female,2,1,4,3
25,Female,2,1,4,3
53,Female,2,1,4,3
30,Male,1,1,,1
20,Male,3,2,4,1
